Sl. No.,State/UT,Schemes,Expenditure (Rupees in Crore) - 2017-18,Expenditure (Rupees in Crore) - 2018-19,Expenditure (Rupees in Crore) - 2019-20,Expenditure (Rupees in Crore) - 2020-21,Expenditure (Rupees in Crore) - 2021-22
1,Andhra Pradesh,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,106.47,63.12,30.25,58.87,52.9
2,Assam,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,16.92,102.61,0,0,95.85
3,Bihar,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,93.32,54.97,38.37,28.84,33.89
4,Chhattisgarh,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,52.38,31.83,21.35,30.32,11.94
5,Goa,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,6.22,28.22,76.86,28.17,28.53
6,Gujarat,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,2350.54,2299.93,1047.34,1005.39,765.14
7,Himachal Pradesh,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,NA,NA,NA,NA,2.5
8,Jharkhand,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,585.17,437.13,415.15,90.31,248.96
9,Karnataka,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,313.16,306.09,344.38,414.09,229.15
10,Kerala,A. Pradhan Mantri Krishi Sinchai Yojana - Accelerated Irrigation Benefit Programme with paripassu implementation of Command Area Development & Water Management,7.49,6.84,7.69,0,1.95
